Longitude,Latitude,Date,CMAQ_O3
-106.98255,28.01624,2005-05-22,55.808
-106.99581,28.12222,2005-05-22,56.0231
-107.0091,28.22823,2005-05-22,56.2736
-107.02243,28.33428,2005-05-22,56.6483
-107.03579,28.44036,2005-05-22,57.0114
-107.04919,28.54648,2005-05-22,56.2244
-107.06262,28.65262,2005-05-22,55.5937
-107.07609,28.7588,2005-05-22,55.3825
-107.08959,28.86501,2005-05-22,55.3079
-107.10313,28.97125,2005-05-22,54.6329
-107.11671,29.07752,2005-05-22,54.9808
-107.13033,29.18383,2005-05-22,54.4956
-107.14397,29.29016,2005-05-22,53.4519
-107.15766,29.39653,2005-05-22,52.2755
-107.17138,29.50292,2005-05-22,52.077
-107.18514,29.60934,2005-05-22,52.6706
-107.19894,29.7158,2005-05-22,53.2602
-107.21278,29.82228,2005-05-22,53.9389
-107.22665,29.92879,2005-05-22,54.5445
-107.24055,30.03533,2005-05-22,55.0794
-107.2545,30.14189,2005-05-22,55.5278
-107.26849,30.24849,2005-05-22,56.3519
-107.28251,30.35511,2005-05-22,57.607
-107.29657,30.46175,2005-05-22,58.5396
-107.31067,30.56843,2005-05-22,59.2493
-107.32481,30.67513,2005-05-22,59.4811
-107.33899,30.78186,2005-05-22,59.6198
-107.3532,30.88861,2005-05-22,59.7302
-107.36745,30.99539,2005-05-22,59.8143
-107.38175,31.10219,2005-05-22,59.6834
-107.39609,31.20901,2005-05-22,59.4436
-107.41045,31.31587,2005-05-22,59.2946
-107.42487,31.42274,2005-05-22,59.0044
-107.43932,31.52964,2005-05-22,58.6595
-107.45381,31.63656,2005-05-22,58.4045
-107.46835,31.74351,2005-05-22,58.3179
-107.48292,31.85047,2005-05-22,58.3867
-107.49753,31.95746,2005-05-22,58.4632
-107.51218,32.06447,2005-05-22,58.5037
-107.52688,32.1715,2005-05-22,58.5063
-107.54161,32.27856,2005-05-22,58.3314
-107.55639,32.38564,2005-05-22,57.9201
-107.57121,32.49273,2005-05-22,58.1295
-107.58607,32.59984,2005-05-22,58.0928
-107.60097,32.70698,2005-05-22,57.8814
-107.61591,32.81413,2005-05-22,57.7756
-107.63089,32.92131,2005-05-22,57.5274
-107.64592,33.0285,2005-05-22,57.0991
-107.66099,33.13571,2005-05-22,57.1072
-107.6761,33.24294,2005-05-22,56.8752
-107.69125,33.35018,2005-05-22,56.3263
-107.70645,33.45745,2005-05-22,56.2437
-107.72169,33.56473,2005-05-22,55.9412
-107.73698,33.67202,2005-05-22,55.7239
-107.7523,33.77934,2005-05-22,55.6103
-107.76767,33.88667,2005-05-22,55.3122
-107.78309,33.99401,2005-05-22,55.1096
-107.79855,34.10137,2005-05-22,55.221
-107.81405,34.20874,2005-05-22,55.4968
-107.8296,34.31613,2005-05-22,56.0574
-107.84518,34.42353,2005-05-22,55.8714
-107.86082,34.53095,2005-05-22,55.8711
-107.8765,34.63838,2005-05-22,55.9538
-107.89223,34.74582,2005-05-22,55.845
-107.908,34.85328,2005-05-22,55.1689
-107.92382,34.96075,2005-05-22,53.2895
-107.93968,35.06823,2005-05-22,53.2733
-107.95559,35.17572,2005-05-22,52.8785
-107.97154,35.28322,2005-05-22,53.651
-107.98754,35.39073,2005-05-22,54.9052
-108.00359,35.49825,2005-05-22,53.5302
-108.01968,35.60579,2005-05-22,53.948
-108.03583,35.71333,2005-05-22,53.9372
-108.05202,35.82088,2005-05-22,53.9147
-108.06825,35.92844,2005-05-22,54.8193
-108.08453,36.03601,2005-05-22,55.147
-108.10087,36.14359,2005-05-22,55.7361
-108.11724,36.25118,2005-05-22,58.3081
-108.13367,36.35877,2005-05-22,58.7775
-108.15015,36.46637,2005-05-22,61.1047
-108.16667,36.57398,2005-05-22,66.8663
-108.18324,36.68159,2005-05-22,67.0217
-108.19987,36.78921,2005-05-22,66.3265
-108.21654,36.89684,2005-05-22,60.9107
-108.23325,37.00446,2005-05-22,59.2665
-108.25002,37.1121,2005-05-22,57.9982
-108.26685,37.21974,2005-05-22,54.8093
-108.28371,37.32738,2005-05-22,55.7854
-108.30064,37.43502,2005-05-22,56.4719
-108.3176,37.54268,2005-05-22,55.7493
-108.33463,37.65033,2005-05-22,54.6039
-108.3517,37.75798,2005-05-22,54.1551
-108.36883,37.86564,2005-05-22,54.6688
-108.386,37.9733,2005-05-22,55.0261
-108.40323,38.08096,2005-05-22,54.9907
-108.42051,38.18862,2005-05-22,55.5006
-108.43784,38.29628,2005-05-22,57.0573
-108.45522,38.40395,2005-05-22,56.335
-108.47266,38.51161,2005-05-22,57.8727
-108.49015,38.61927,2005-05-22,59.1871
-108.50769,38.72693,2005-05-22,57.7339
-108.52528,38.83459,2005-05-22,58.6225
-108.54294,38.94224,2005-05-22,59.3994
-108.56064,39.0499,2005-05-22,61.3059
-108.5784,39.15755,2005-05-22,59.7169
-108.59621,39.2652,2005-05-22,58.9992
-108.61407,39.37284,2005-05-22,58.6963
-108.632,39.48049,2005-05-22,58.0763
-108.64997,39.58813,2005-05-22,58.2017
-108.668,39.69576,2005-05-22,58.4907
-108.68609,39.80339,2005-05-22,58.0699
-108.70423,39.91101,2005-05-22,57.4763
-108.72243,40.01863,2005-05-22,57.8157
-108.74068,40.12624,2005-05-22,58.7882
-108.759,40.23384,2005-05-22,59.2335
-108.77737,40.34144,2005-05-22,59.3205
-108.79579,40.44903,2005-05-22,57.3949
-108.81428,40.55662,2005-05-22,56.558
-108.83282,40.66419,2005-05-22,56.2598
-108.85142,40.77176,2005-05-22,56.4498
-108.87007,40.87931,2005-05-22,56.9831
-108.88879,40.98686,2005-05-22,57.0125
-108.90756,41.0944,2005-05-22,56.7022
-108.9264,41.20193,2005-05-22,56.3549
-108.94529,41.30945,2005-05-22,56.5558
-108.96424,41.41695,2005-05-22,58.8021
-108.98325,41.52445,2005-05-22,58.9408
-109.00233,41.63194,2005-05-22,58.9526
-109.02146,41.73941,2005-05-22,59.4656
-109.04066,41.84687,2005-05-22,59.6335
-109.05991,41.95431,2005-05-22,59.3718
-109.07923,42.06174,2005-05-22,56.448
-109.0986,42.16916,2005-05-22,56.2854
-109.11804,42.27657,2005-05-22,56.2628
-109.13755,42.38396,2005-05-22,55.9728
-109.15711,42.49133,2005-05-22,57.0728
-109.17673,42.59869,2005-05-22,59.2925
-109.19643,42.70604,2005-05-22,60.4048
-109.21618,42.81337,2005-05-22,58.7999
-109.236,42.92068,2005-05-22,57.9218
-109.25588,43.02797,2005-05-22,57.0064
-109.27583,43.13525,2005-05-22,57.333
-109.29584,43.24251,2005-05-22,57.6346
-109.31591,43.34975,2005-05-22,55.9135
-109.33605,43.45697,2005-05-22,52.9014
-109.35626,43.56417,2005-05-22,53.2594
-109.37653,43.67136,2005-05-22,55.7218
-109.39687,43.77852,2005-05-22,58.094
-109.41727,43.88566,2005-05-22,57.7646
-109.43774,43.99279,2005-05-22,56.3446
-109.45828,44.09989,2005-05-22,54.6572
-109.47889,44.20697,2005-05-22,54.4561
-109.49957,44.31402,2005-05-22,52.7248
-109.52031,44.42106,2005-05-22,52.0971
-109.54111,44.52807,2005-05-22,52.3279
-109.562,44.63506,2005-05-22,51.8425
-109.58295,44.74203,2005-05-22,51.081
-109.60397,44.84897,2005-05-22,49.9051
-109.62505,44.95588,2005-05-22,52.3915
-109.64621,45.06277,2005-05-22,53.1937
-109.66744,45.16964,2005-05-22,52.8609
-109.68874,45.27648,2005-05-22,52.4647
-109.71011,45.3833,2005-05-22,50.586
-109.73156,45.49009,2005-05-22,49.0565
-109.75307,45.59685,2005-05-22,48.3742
