id,lon,lat,rate,cmaq
232,-110.81538,49.71889,0.434304709753462,42.4479
233,-110.84039,49.82421,0.433711284091281,42.3899
234,-110.86548,49.92947,0.432256368071244,42.2477
235,-110.89066,50.03469,0.433481075860263,42.3674
236,-110.91594,50.13987,0.433640686900436,42.383
237,-110.94131,50.245,0.433510747143372,42.3703
238,-110.96677,50.35008,0.438663318927414,42.8739
239,-110.99232,50.45511,0.441065669711554,43.1087
240,-111.01796,50.5601,0.441496414890482,43.1508
241,-106.62511,25.06369,0.438025897914416,42.8116
242,-106.63744,25.1686,0.445535801984088,43.5456
243,-106.64979,25.27356,0.4306316095341,42.0889
244,-106.66218,25.37856,0.442615738467079,43.2602
245,-106.6746,25.4836,0.474353779916839,46.3622
246,-106.68706,25.58868,0.509921463183053,49.8385
247,-106.69954,25.6938,0.533373031463838,52.1306
248,-106.71206,25.79896,0.548447066430933,53.6039
249,-106.72461,25.90417,0.553725485381266,54.1198
250,-106.73719,26.00941,0.558751186851324,54.611
251,-106.7498,26.11469,0.569228219231903,55.635
252,-106.76245,26.22001,0.573135620273058,56.0169
253,-106.77513,26.32538,0.569669195887765,55.6781
254,-106.78784,26.43078,0.563196763579216,55.0455
255,-106.80058,26.53621,0.560214288052909,54.754
256,-106.81336,26.64169,0.563483244933373,55.0735
257,-106.82617,26.74721,0.56026544543758,54.759
258,-106.83902,26.85276,0.558733793340536,54.6093
259,-106.8519,26.95835,0.557283993058966,54.4676
260,-106.86481,27.06398,0.557310594898995,54.4702
261,-106.87775,27.16964,0.554280031431097,54.174
262,-106.89074,27.27534,0.551487861375765,53.9011
263,-106.90375,27.38108,0.551982041711685,53.9494
264,-106.9168,27.48685,0.55171090757293,53.9229
265,-106.92988,27.59266,0.556972956160168,54.4372
266,-106.943,27.6985,0.567179877549684,55.4348
267,-106.95615,27.80438,0.569519816324526,55.6635
268,-106.96934,27.91029,0.56878417313296,55.5916
269,-106.98255,28.01624,0.570998264741512,55.808
270,-106.99581,28.12222,0.573199055430049,56.0231
271,-107.0091,28.22823,0.575762040402056,56.2736
272,-107.02243,28.33428,0.579595774809285,56.6483
273,-107.03579,28.44036,0.583310824084078,57.0114
274,-107.04919,28.54648,0.575258651736895,56.2244
275,-107.06262,28.65262,0.568805659234522,55.5937
276,-107.07609,28.7588,0.566644771306028,55.3825
277,-107.08959,28.86501,0.565881503126739,55.3079
278,-107.10313,28.97125,0.558975256196182,54.6329
279,-107.11671,29.07752,0.562534787021576,54.9808
280,-107.13033,29.18383,0.557570474413122,54.4956
281,-107.14397,29.29016,0.546891881936941,53.4519
282,-107.15766,29.39653,0.534855572471597,52.2755
283,-107.17138,29.50292,0.532824624300167,52.077
284,-107.18514,29.60934,0.538898029008283,52.6706
285,-107.19894,29.7158,0.544930507808663,53.2602
286,-107.21278,29.82228,0.551874611203876,53.9389
287,-107.22665,29.92879,0.558070793635203,54.5445
288,-107.24055,30.03533,0.563543610647284,55.0794
289,-107.2545,30.14189,0.568131404904561,55.5278
290,-107.26849,30.24849,0.576563165046001,56.3519
291,-107.28251,30.35511,0.589404691746063,57.607
292,-107.29657,30.46175,0.598946567134859,58.5396
293,-107.31067,30.56843,0.606207846315031,59.2493
294,-107.32481,30.67513,0.608579502668369,59.4811
295,-107.33899,30.78186,0.609998608519137,59.6198
296,-107.3532,30.88861,0.611128163572668,59.7302
297,-107.36745,30.99539,0.611988630782831,59.8143
298,-107.38175,31.10219,0.610649330452149,59.6834
299,-107.39609,31.20901,0.608195822283338,59.4436
300,-107.41045,31.31587,0.606671332220149,59.2946
301,-107.42487,31.42274,0.603702157613856,59.0044
302,-107.43932,31.52964,0.600173321219265,58.6595
303,-107.45381,31.63656,0.597564294601054,58.4045
304,-107.46835,31.74351,0.596678248698556,58.3179
305,-107.48292,31.85047,0.597382174311626,58.3867
306,-107.49753,31.95746,0.598164882297089,58.4632
307,-107.51218,32.06447,0.598579257112923,58.5037
308,-107.52688,32.1715,0.598605858952952,58.5063
309,-107.54161,32.27856,0.596816373637167,58.3314
310,-107.55639,32.38564,0.592608167174148,57.9201
311,-107.57121,32.49273,0.594750638444161,58.1295
312,-107.58607,32.59984,0.594375143240677,58.0928
313,-107.60097,32.70698,0.592212209016796,57.8814
314,-107.61591,32.81413,0.591129718757162,57.7756
315,-107.63089,32.92131,0.588590266182104,57.5274
316,-107.64592,33.0285,0.584208124611204,57.0991
317,-107.66099,33.13571,0.584290999574371,57.1072
318,-107.6761,33.24294,0.581917296925646,56.8752
319,-107.69125,33.35018,0.576301239236486,56.3263
320,-107.70645,33.45745,0.575456119241725,56.2437
321,-107.72169,33.56473,0.572361097469142,55.9412
322,-107.73698,33.67202,0.570137797531349,55.7239
323,-107.7523,33.77934,0.568975501751629,55.6103
324,-107.76767,33.88667,0.565925498477556,55.3122
325,-107.78309,33.99401,0.563852601250696,55.1096
326,-107.79855,34.10137,0.564992387781161,55.221
327,-107.81405,34.20874,0.567814229119602,55.4968
328,-107.8296,34.31613,0.573549995088891,56.0574
329,-107.84518,34.42353,0.571646940379138,55.8714
330,-107.86082,34.53095,0.571643870936057,55.8711
331,-107.8765,34.63838,0.572490014078512,55.9538
332,-107.89223,34.74582,0.571376829388076,55.845
333,-107.908,34.85328,0.564459327832891,55.1689
334,-107.92382,34.96075,0.545230290082834,53.2895
335,-107.93968,35.06823,0.545064540156501,53.2733
336,-107.95559,35.17572,0.541025153062895,52.8785
337,-107.97154,35.28322,0.548928968994532,53.651
338,-107.98754,35.39073,0.561761287365354,54.9052
339,-108.00359,35.49825,0.547693006580886,53.5302
340,-108.01968,35.60579,0.551967717643977,53.948
341,-108.03583,35.71333,0.551857217693088,53.9372
342,-108.05202,35.82088,0.55162700946207,53.9147
